platform,title,review,rating,date,source
Spinny,While handover,"While handover, cleaning was not done properly. Under the carpet tons of dog hair. Rear left tyre was keep leakey. It was not addressed while selling or delivering. Number plate was broken condition. Sales team offered that will send the plates to home itself. You know what? Nothing happened till now. Price also bloated compare to the equivalent model in market. Just the ready to pickup and varieties in view ended up with spinny.",3,2026-06-19T14:18:05.000Z,Trustpilot
Spinny,Very bad battery condition.,"Hi Lalitha, thank you for sharing your feedback. As discussed, the battery related issue, based on a detailed review, the issue highlighted falls outside the purview of the warranty conditions. Hence, we’re unable to cover the repair under warranty. Thanks! We appreciate your understanding and are here to assist with any further queries. Squad Spinny",,2026-06-19T13:22:57.000Z,Trustpilot
Spinny,Overall experience was great except warranty and insurance which should be explained more properly,"Hi Sajal, thank you for sharing your experience! We're glad to know that your overall journey was great and that our team was understanding throughout. We also appreciate your feedback regarding warranty and insurance communication. We'll work towards making these details clearer and more transparent for our customers. Thank you for choosing Spinny! #SquadSpinny",,2026-06-19T12:47:13.000Z,Trustpilot
Spinny,It has been 248 days since I sold my…,"Hi Monu, we’re sorry for the inconvenience caused and understand your concern regarding the delayed ownership transfer and the associated challans. Please share your contact details and car registration number with us via the Google Form https://bit.ly/3kWbuVP so we can review the matter further and assist you accordingly. Please be assured that the Seller Protection Policy remains in place to support you throughout the post-sale process. Squad Spinny",,2026-06-19T08:54:51.000Z,Trustpilot
Spinny,"Stereo system is faulty, Engine Sound","Stereo system is faulty, at the time of demonstration, Spinny said, it is running problem but Bluetooth is also not working. Radio is horrible There is too much sound in Engine Suspension is not good, not able to clear small hump without touch while sitting four person including driver It is frustrating experience what I assumed as brand endorsed by Sachin",2,2026-06-18T15:28:08.000Z,Trustpilot
Spinny,It's not a good experience but better than other places,"Hi Amit, thank you for sharing your feedback and for choosing us for your first car purchase. We regret that certain aspects of your experience did not meet expectations, and we appreciate you highlighting them. Please share your contact details and car registration number with us via the Google Form https://bit.ly/3kWbuVP so we can review the matter further and assist you accordingly. #SquadSpinny",2,2026-06-18T15:22:48.000Z,Trustpilot
Spinny,It was good service..I got my…,"Hi Sunil, we are glad to have been able to help you. Thank you for the mention. #SquadSpinny",,2026-06-18T15:03:24.000Z,Trustpilot
Spinny,I saw the paint of the car is look like…,I saw the paint of the car is look like white shades in joints and edges . Apart  all the interior and engine is in good condition. Final part Spinny quoting bit higher price.,,2026-06-18T13:06:59.000Z,Trustpilot
Spinny,Nice experience from very beginning…,"Hi Amol, thank you for your feedback! We're delighted to know that your journey from searching for a car to purchasing one was smooth and hassle-free. Enjoy your car! #SquadSpinny",,2026-06-18T12:58:26.000Z,Trustpilot
Spinny,Very Bad experience with Spinny they…,"Hi Akhtar, we’re sorry to hear about your experience and understand your concern regarding the support and warranty-related services. Please share your contact details and car registration number with us via the Google Form https://bit.ly/3kWbuVP so we can review the matter further and assist you accordingly. Squad Spinny",,2026-06-18T12:50:27.000Z,Trustpilot
Spinny,Spinny team has resolved my issue in a…,"Hi Siddhartha, thank you for your feedback! We're glad our team could resolve your issue quickly. We appreciate your trust in Spinny. #SquadSpinny",,2026-06-18T07:54:11.000Z,Trustpilot
Spinny,Good experience with Spinny,"Hi Sarfaraz, thank you for your valuable feedback! We're glad to hear that you found the app easy to use and that our team could support you throughout your car-buying journey. It's great to know the handover and paperwork process was smooth. We appreciate your thoughts on pricing and are happy to have your perspective as we continue striving to deliver the best value and experience. Enjoy your new car and happy driving! 🚗 #SquadSpinny",,2026-06-17T14:06:50.000Z,Trustpilot
Spinny,Great experience buying from Spinny,"I recently bought a Maruti Suzuki Dezire from Spinny and it was a fantastic experience. I visited their Hinjewadi Park in Pune and staff promptly attended to me, asked me about my requirements and budget. Based on that they provided test drives and post the selection of right car, the paper work was hassle free. The car was handed to me within a couple of hours after all the checks and cleaning. I entered and exited the spinny park with my new car in a matter of 3-4 hours! Post buying, the car has been working in good condition and I don't have any complaints yet. Overall I will highly recommend Spinny for buying and selling second hand cars.",,2026-06-17T13:19:53.000Z,Trustpilot
Spinny,Thank you Nishank and spinny team for…,"Hi Yash, we’re glad to know your issue has been resolved. Thank you for the confirmation! 🙌 Your kind words truly mean a lot to Nishank and us. We’ll be sure to pass on the appreciation. Thank you for making our day!",5,2026-06-17T12:55:58.000Z,Trustpilot
Spinny,Already repaired some part,"Hi Prashant, we understand your frustration with the issues you've faced and are eager to resolve it for you. Please share your contact details with us by filling in the given Google form: https://bit.ly/3kWbuVP so we can improve your experience. Squad Spinny",,2026-06-17T12:47:26.000Z,Trustpilot
Spinny,Prompt service,"Hi Shahbaz, We're delighted to know that we were able to provide you with a positive experience. Thank you for taking the time to share your feedback. We truly appreciate your support and look forward to serving you again in the future. #SquadSpinny🚗✨",,2026-06-17T08:04:25.000Z,Trustpilot
Spinny,Kudos to Nithin,"Hi Krishnan, Thank you for your wonderful feedback. We're delighted to hear that Nitin's support and dedication helped make your ownership transfer journey smoother. We'll be sure to pass along your appreciation to him. Thank you for placing your trust in Spinny, and we wish you many happy drives ahead. #SquadSpinny🚗✨",,2026-06-16T15:00:40.000Z,Trustpilot
Spinny,"Disappointed! Bad team & support, Spinny gurgaon","Hi  Anubhav! Thank you for staying with us. As discussed, we have reviewed the matter and confirmed that there is no pending hold amount against the original RC as per the agreed terms. We appreciate your patience and understanding. Should you need any assistance in the future, please feel free to reach out to us. Squad Spinny",1,2026-06-15T04:39:44.000Z,Trustpilot
Spinny,Great Service from Expert People,"I had a mixed feelings from the day i bought this car. Had a lot issue. Sincerely I was very much dissatisfied first due to service and promised I was made.Eventually Nishank was the person who continuously was in contact with me to fix all the issue which I had. I must say he has patience to listen and keep calm even when the customer is very irrated. The way he handles to resolve the issue was fantastic. I would rate him 5/5 for the effort which he gave it to me. Yes everything is not in his hand, it is the company which makes decisions and makes things delayed. He was able to explain me every minute details. I am happy that Nishank is with Spinny giving his best to make customer delight. On the other hand i would also like to appreciate Ovesh for his effort to resolve the query on time. He always gave me an assurance and never have me false hope. He has great knowledge and was able to give me the correct decision with his expert opinion. I was also happy when Mr Sushil stepped in to resolve one of my issue which indeed was done by someone else. His visit to my place was his kind gesture in this tremendous hot weather but I had no choice as I had other commitments as well. As a while I really feel that these 3 peple deserves special Award for their effort, knowledge and the expert level to handle the most difficult situations. Hats off to every one. I would really feel great if Spinny gives them a great achievement award. Thank you everyone for all your services and the efforts that you have made it to me. I am also touched when they said me if any issue comes further they can connect at any point of time. Thank You You all deserve a huge respect.",,2026-06-14T19:29:23.000Z,Trustpilot
Spinny,Issues resolved and thanks to you …,"Hi Niraj, we're glad to know that your issue has been resolved. Thank you for your patience and for sharing your feedback. Your satisfaction means a lot to us, and we're always here to help.",,2026-06-14T10:15:59.000Z,Trustpilot
Spinny,Excellent support received,I would like the appreciate the support provided by Monika Pundhir who guided and followed up with me throughout my car repair and reimbursement process. Her behavior and attitude was professional and she was knowledgable of the entire process.,,2026-06-13T14:37:23.000Z,Trustpilot
