platform,review,rating,date,source
Cars24,I had bought a car from car 24 Dombivali mumbai. but found it's fasttag is block. now facing very problems for buying new fasttag. they didn't clear there previous dues. due to which I can not getting new one. there is also show 1 challan pending on that car which is also not clear by car 24.they take 11k for service charge. but they even didn't filled the wiper water tank. which basic point in service. also 1 back tyre of driving side is found puncture. at the time of delivery.how can I trust them that they do the proper servicing as they didn't filled simple water ??i didn't getting that they even change coolant and engine oil of car.,,2026-06-13T10:53:01.000Z,Trustpilot
Cars24,Dear team i am writing this mail regarding your worst service ever i have seen i have booked appointment 2 time but still your valuation guys didn't reached to me for valuation of my crOnly they are calling sir we are on the way reaching in 10min 20 minThe worse service i got from your teamThere are other option too but I choose you guys but now I will make sure I will not sell my car to cars24 I will tell in my circle too,,2026-06-11T19:31:25.000Z,Trustpilot
Cars24,"False msges that I have a challan on my car. Then I spent my valuable time checking 5 different government and other sites to check my car challan. I told them I don't see a challan on my vehicle. The Cars 24 representative asks me, ""oh the challan has been paid""? I asked them to tell me my car number, they representative was unable to mention my car no. (WhatsApp msg did mention my car number).. I wanted give the feedback to a senior employee. Call was cut.. Useless company, even many other online  reviews say don't ever sell your car through them they undervalue. I will never deal wid them",,2026-06-11T13:19:56.000Z,Trustpilot
Cars24,Dear All....This company waste...First they will tell you ur old car will get good amount which we r expecting after our car valuation they will tell u get this amount xxxx which we expecting 40% less.... Don't waste time installing this app.....,,2026-06-09T18:47:29.000Z,Trustpilot
Cars24,"Car 24 is froud company, I want sale my car on 24 , technical come and get the inspection and taken 799 fees for action and no any response after some time call me car 24 team for 1800 with gst payment for car go live and no any response and team is not picking my call for any help after charges payment",,2026-06-09T05:08:01.000Z,Trustpilot
Cars24,"""Very bad experience with Cars24. The service quality was disappointing from start to finish. The information provided was misleading, and I felt completely fooled by the promises made. The process was not transparent, communication was poor, and there were unnecessary delays. Customer support was not helpful in resolving concerns. I expected a professional and trustworthy experience, but unfortunately, it was the opposite. I would not recommend Cars24 to anyone looking for a reliable car buying or selling service. Please improve your transparency, customer service, and overall customer experience.",,2026-06-08T18:16:08.000Z,Trustpilot
Cars24,Hi Amit! We sincerely apologize for any inconvenience caused. Please share your contact details by filling out this form (  https://i.ki.show/F0F75E6109 ). This will help us to address your concern on priority. #Cars24Crew,1,2026-06-08T13:47:24.000Z,Trustpilot
Cars24,"Pathetic and disappointing service from Cars24. The inspection team and customer service provided false and misleading information about my car. The inspection report mentioned imperfections that were not properly explained, and the car was quoted at a very low price.What is even more disappointing is that money was deducted without prior intimation or clear consent. Based on my experience, I would not recommend selling your car through Cars24. They purchase vehicles at very low prices and later sell them at much higher rates.Cars24 should focus on hiring genuine, well-trained, and professional staff who treat customers fairly and transparently. Customers deserve honest communication, professionalism, and respect—not misleading information and poor service.The person visited for the inspection forced me to give 5star rating is this how you staff are trained???Really Pathetic disappointing and very disgustingIt is very difficult to reach you no one is bothered to call and discussShameless cars24.",,2026-06-08T11:31:56.000Z,Trustpilot
Cars24,"Hi Manas! We sincerely apologize for the inconvenience caused. Please provide detailed information about your concern by completing this form ( https://i.ki.show/4940EF8BB5 ), and our team will immediately address it.#Cars24Crew",1,2026-06-06T12:11:13.000Z,Trustpilot
Cars24,"First they asked me to pay for their subscription saying that it was refundable In case I decide not to sell through them, which was a lie. Later on when their customer care executive, niranjan convinced me to sell through them. he gave me a quoted price minus challan amount minus 10000(paid on transfer). But in the end I received an amount that was 20,000 less. It was my foolishness that I trusted him over the phone and handed the car over. now I am stuck. NEVER USE CARS24. They will use every trick in the book to fleece you. Most importantly they will never give a single penny after taking possession of the car.",,2026-06-06T11:28:22.000Z,Trustpilot
Cars24,"I got a syros second hand from Cars 24 Bangalore. The car is in good condition, but the overall buying experience was pretty bad. First of all there was no place to sit as the office had limited seating capacity. I had visited with my wife and 1 year old daughter and there was no place to sit. Pre delivery cleaning of the car was below expectation. There was still dust in the interior and the exterior didn't seem to be washed well. The RC transfer has not started even after 2 weeks and I have got no clear reason for the delay. I wanted to opt out of service and RC transfer but they said it's not an option. Despite charging abt 25k for these services, the service provided is extremely poor. After sales support is next to nothing. I wouldn't recommend anyone cars24 just for their poor after sales support. Not sure how much value there is for the warrenty they provide !",,2026-06-06T10:34:04.000Z,Trustpilot
